agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	440213070203201	72019	65248	2019	10	10.35
USGS	440213070203201	72019	65248	2019	11	9.749
USGS	440213070203201	72019	65248	2019	12	9.482
USGS	440213070203201	72019	65248	2020	1	9.495
USGS	440213070203201	72019	65248	2020	2	9.581
USGS	440213070203201	72019	65248	2020	3	9.263
USGS	440213070203201	72019	65248	2020	4	8.883
USGS	440213070203201	72019	65248	2020	5	9.148
USGS	440213070203201	72019	65248	2020	6	9.769
USGS	440213070203201	72019	65248	2020	7	9.683
USGS	440213070203201	72019	65248	2020	8	10.401
USGS	440213070203201	72019	65248	2020	9	10.907
USGS	440213070203201	72019	65248	2020	10	10.766
USGS	440213070203201	72019	65248	2020	11	10.656
USGS	440213070203201	72019	65248	2020	12	9.691
USGS	440213070203201	72019	65248	2021	1	9.445
USGS	440213070203201	72019	65248	2021	2	9.679
USGS	440213070203201	72019	65248	2021	3	9.719
USGS	440213070203201	72019	65248	2021	4	9.486
USGS	440213070203201	72019	65248	2021	5	9.7
USGS	440213070203201	72019	65248	2021	6	10.341
USGS	440213070203201	72019	65248	2021	7	10.19
USGS	440213070203201	72019	65248	2021	8	10.444
USGS	440213070203201	72019	65248	2021	9	10.773
USGS	440213070203201	72019	65248	2021	10	10.989
USGS	440213070203201	72019	65248	2021	11	10.298
USGS	440213070203201	72019	65248	2021	12	10.115
USGS	440213070203201	72019	65248	2022	1	10.201
USGS	440213070203201	72019	65248	2022	2	10.141
USGS	440213070203201	72019	65248	2022	3	9.615
USGS	440213070203201	72019	65248	2022	4	9.176
USGS	440213070203201	72019	65248	2022	5	9.566
USGS	440213070203201	72019	65248	2022	6	10.16
USGS	440213070203201	72019	65248	2022	7	10.738

